,,,,経常収支 (a+b+c),,,,,,,,資本移転等収支,金融収支 ,,,,,,誤差脱漏
,,,,Current account (a+b+c),,,,,,,,Capital account,Financial account ,,,,,,Net errors & omissions
,,,,,(a)貿易・サービス収支,,,,,(b)第一次所得収支,(c)第二次所得収支,,,直接投資,証券投資,金融派生商品,その他投資,外貨準備,
,,,,,(a)Goods & services,,,,,(b)Primary income,(c)Secondary income,,,Direct investment,Portfolio investment,Financial derivatives(other than reserves),Other investment,Reserve assets,
,,,,,,貿易収支,,,サービス収支,,,,,,,,,,
,5月,,May,"18,176","8,752","11,434","44,544","33,110","-2,681","9,910",-486,-11,"16,495","2,195","11,113",586,247,"2,354","-1,670"
,6月,,Jun,"13,747","9,789","13,221","49,829","36,608","-3,431","4,581",-623,-167,"4,702","1,576","35,910",608,"-34,179",787,"-8,878"
,7月,,Jul,"17,298","9,253","13,536","49,996","36,460","-4,282","8,905",-860,-124,"14,795","3,078","-29,163",-857,"40,243","1,495","-2,380"
,8月,,Aug,"15,356","5,302","8,022","45,227","37,205","-2,720","10,624",-570,-92,"22,710","3,587",918,-695,"15,788","3,113","7,446"
,9月,,Sep,"18,362","10,586","14,687","51,417","36,730","-4,101","8,508",-732,-474,"10,674","3,946","63,974",-473,"-57,892","1,120","-7,214"
,10月,,Oct,"14,305","8,281","13,764","51,641","37,877","-5,483","6,830",-806,-275,"8,067","1,886","-45,225","-1,483","51,799","1,090","-5,963"
,11月,,Nov,"13,233","4,882","7,449","48,689","41,240","-2,566","9,246",-895,-316,"17,276","4,500","21,994",-662,"-11,541","2,985","4,359"
,12月,,Dec,"16,974","9,955","12,910","50,595","37,686","-2,955","7,519",-500,"-1,269","-1,141","4,779","-20,229",-252,"13,548","1,013","-16,846"
平成17年,1月,2005,Jan,"8,294",-178,"4,494","42,437","37,943","-4,672","9,205",-732,-396,"10,590","2,969","-30,162",45,"35,773","1,966","2,691"
,2月,,Feb,"21,533","10,879","13,176","46,410","33,234","-2,297","11,026",-372,-140,"21,570","3,153","-6,550",-513,"22,583","2,897",177
,3月,,Mar,"18,531","10,548","13,035","55,404","42,369","-2,487","10,773","-2,790",-685,"18,783","1,470","55,601",5,"-39,047",755,937
,4月,,Apr,"16,631","7,396","12,325","52,695","40,370","-4,928","10,356","-1,122",-66,"8,816","3,899","-43,379","-1,523","48,197","1,622","-7,749"
,5月,,May,"14,509","3,192","5,322","46,067","40,745","-2,130","11,881",-563,-484,"11,424","2,564","10,165",-520,"-4,179","3,395","-2,601"
,6月,,Jun,"11,370","7,592","10,774","52,497","41,722","-3,182","4,212",-435,-161,"12,334","3,400","10,189","-1,865",-421,"1,031","1,124"
,7月,,Jul,"17,320","7,384","11,361","53,151","41,791","-3,976","10,329",-393,-97,"19,908","2,974","4,814",-978,"11,715","1,382","2,685"
,8月,,Aug,"12,503",356,"3,763","50,104","46,342","-3,407","12,813",-666,-133,"8,925","5,888","4,194",-811,"-4,048","3,702","-3,444"
,9月,,Sep,"18,651","8,541","12,591","56,868","44,278","-4,050","10,298",-188,-149,"12,050","3,895","76,655","2,544","-72,730","1,686","-6,453"
,10月,,Oct,"14,523","6,556","10,754","56,720","45,967","-4,197","8,778",-811,-141,"10,232","6,008","-47,441",883,"48,591","2,192","-4,150"
,11月,,Nov,"14,580","5,698","8,309","56,603","48,294","-2,610","9,416",-535,-43,"13,710","5,232","-43,157","3,699","44,188","3,749",-827
,12月,,Dec,"18,832","8,965","11,810","61,140","49,330","-2,845","9,416",451,"-2,996","15,103","10,252","19,772","7,058","-22,166",186,-733
平成18年,1月,2006,Jan,"7,855","-2,976",-616,"48,212","48,828","-2,359","11,500",-669,-394,"17,019","2,806","-45,629",816,"56,736","2,290","9,558"
