,Date,Value,Series_Code,Series_Name,Unit,Frequency
140,202509,-34977.71001587,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
141,202510,62381.66696,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
142,202511,10065.36657,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
143,202512,-4167.2274,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
144,202601,28642.7534406,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
145,202602,34428.441422,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
146,202603,-72271.29228,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
147,202604,93852.65572,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
148,202605,21744.04706,BPPI6E2N5,Portfolio Investment Liabilities/Equity and investment fund shares/Net,100 million Yen,MONTHLY
149,201401,2554.21138116,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
150,201402,-182.77646453,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
151,201403,2726.07366344,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
152,201404,12111.02748864,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
153,201405,11468.94404,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
154,201406,-9328.07874,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
155,201407,13711.63548868,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
156,201408,18257.6401825,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
157,201409,32996.87085689,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
158,201410,19451.22863758,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
159,201411,13396.19282233,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
160,201412,5635.99966985,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
161,201501,-1769.63030405,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
162,201502,11302.78967525,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
163,201503,9623.3299188,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
164,201504,4370.03998,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
165,201505,-2430.64743102,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
166,201506,-11393.81375386,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
167,201507,25600.37694878,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
168,201508,21940.66689663,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
169,201509,397.6128818,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
170,201510,34099.81753096,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
171,201511,14930.7833315,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
172,201512,-7701.0236795,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
173,201601,6343.22176008,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
174,201602,16338.00360953,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
175,201603,-7671.7890064,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
176,201604,41080.46047003,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
177,201605,8779.1786367,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
178,201606,-7410.55664249,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
179,201607,17002.3919613,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
180,201608,11354.61651599,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
181,201609,-579.39864089,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
182,201610,2686.81462863,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
183,201611,938.71172144,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
184,201612,-1116.20968064,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
185,201701,20134.42050801,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
186,201702,11676.34228435,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
187,201703,-10317.90805704,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
188,201704,12051.15867165,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
189,201705,15138.44857243,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
190,201706,-7315.58017979,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
191,201707,16655.88261192,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
192,201708,24072.37414448,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
193,201709,13138.23364293,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
194,201710,4428.12521163,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
195,201711,11387.99535065,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
196,201712,-2358.79941713,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
197,201801,-7050.723877,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
198,201802,596.97358222,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
199,201803,-7887.8064545,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
200,201804,22761.76696391,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
201,201805,-2577.251545,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
202,201806,3909.476636,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
203,201807,18714.95491832,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
204,201808,-9445.8014526,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
205,201809,-12518.0633168,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
206,201810,13610.4722125,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
207,201811,34563.27168165,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
208,201812,17677.36902736,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
209,201901,16566.97486375,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
210,201902,20695.2046498,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
211,201903,14678.60380915,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
212,201904,11821.44657368,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
213,201905,18079.3114074,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
214,201906,-5423.71745056,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
215,201907,40271.42947872,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
216,201908,6252.30750858,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
217,201909,-6865.55973319,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
218,201910,10151.89080976,BPPI6E3N5,Portfolio Investment Liabilities/Long-term debt securities/Net,100 million Yen,MONTHLY
