,,,,Total（a+b+c+ｄ),,,中央銀行,,,預金取扱機関,,,,,,,,,一般政府,,,その他部門,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Central bank (a),,,"Deposit-taking corporations,",,,銀行等（銀行勘定）,,,信託銀行（銀行勘定）,,,General government (c),,,Other sectors （d),,,その他金融機関,,,,,,,,,,,,,,,,,,,,,その他,,
,,,,,,,,,,except the central bank(b),,,Banks（banking accounts),,,Trust banks(banking accounts）,,,,,,,,,Other financial corporations,,,銀行等（信託勘定）,,,信託銀行（信託勘定）,,,金融商品取引業者,,,生命保険会社,,,損害保険会社,,,投資信託委託会社等,,,Others,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banks（trust accounts）,,,Trust banks（trust accounts）,,,Financial instruments firms,,,Life insurance companies,,,Non-life insurance companies,,,Investment trust management companies,,,,,
,,,,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット,取得,処分,ネット
,,,,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net,Acquisition,Disposition,Net
,5月,,May,"49,013","38,946","10,066",          --,          --,          --,"3,263","4,632","-1,369","2,731","3,354",-623,532,"1,278",-746,20,3,17,"45,730","34,311","11,419","42,549","30,629","11,920",          --,          --,          --,"15,328","11,434","3,894","3,029","2,867",162,"5,323","4,392",931,96,33,63,"18,773","11,903","6,870","3,181","3,682",-501
,6月,,Jun,"56,511","39,934","16,576",          --,          --,          --,"4,145","2,938","1,208","3,831","2,807","1,023",314,130,184,1,2,-1,"52,364","36,994","15,370","48,219","32,465","15,754",          --,          --,          --,"14,209","10,729","3,480","3,832","3,291",540,"4,881","4,320",561,432,83,349,"24,865","14,041","10,824","4,145","4,530",-385
,7月,,Jul,"59,595","40,370","19,225",          --,          --,          --,"3,264","4,849","-1,585","2,344","4,605","-2,260",920,244,675,0,18,-18,"56,331","35,503","20,828","52,814","30,490","22,324",          --,          --,          --,"17,382","9,884","7,498","4,005","3,381",624,"3,751","4,163",-412,242,43,199,"27,435","13,020","14,415","3,517","5,013","-1,496"
,8月,,Aug,"59,793","40,657","19,135",          --,          --,          --,"4,262","4,835",-573,"4,034","4,018",16,227,816,-589,          --,0,0,"55,531","35,822","19,709","51,763","31,977","19,786",          --,          --,          --,"17,797","11,781","6,017","3,147","2,469",678,"4,225","3,521",704,106,58,48,"26,487","14,149","12,339","3,768","3,845",-77
,9月,,Sep,"54,260","30,841","23,419",          --,          --,          --,"3,793","2,631","1,162","3,540","1,965","1,575",253,666,-413,3,1,2,"50,465","28,209","22,255","47,213","24,174","23,039",          --,          --,          --,"16,425","7,333","9,092","2,189","1,762",428,"4,605","5,324",-719,42,103,-61,"23,950","9,651","14,299","3,252","4,036",-784
,10月,,Oct,"53,452","36,080","17,372",          --,          --,          --,"7,559","4,357","3,202","7,055","3,996","3,059",504,361,143,1,2,-1,"45,893","31,721","14,171","43,366","28,537","14,829",          --,          --,          --,"11,632","9,537","2,094","3,285","2,323",962,"4,175","4,110",65,62,246,-185,"24,212","12,320","11,892","2,527","3,184",-658
,11月,,Nov,"47,455","36,782","10,673",          --,          --,          --,"3,029","3,290",-260,"2,140","2,787",-648,890,502,387,0,2,-2,"44,425","33,491","10,935","41,567","29,428","12,139",          --,          --,          --,"13,554","11,864","1,690","2,738","2,211",527,"4,087","3,835",251,99,109,-11,"21,089","11,407","9,682","2,858","4,063","-1,205"
,12月,,Dec,"51,465","45,704","5,761",          --,          --,          --,"2,997","3,282",-285,"2,626","2,933",-307,371,349,22,0,0,0,"48,467","42,422","6,045","42,675","33,462","9,213",          --,          --,          --,"10,957","7,960","2,997","2,755","2,152",603,"4,940","4,553",388,76,99,-23,"23,946","18,698","5,248","5,792","8,959","-3,167"
平成28年,1月,2016,Jan,"43,721","31,934","11,787",          --,          --,          --,"4,381","2,792","1,590","4,072","2,730","1,342",309,62,247,9,10,-1,"39,330","29,132","10,198","36,941","26,114","10,827",          --,          --,          --,"14,566","9,380","5,186","1,877","1,338",539,"6,683","5,397","1,286",69,160,-91,"13,746","9,839","3,907","2,389","3,018",-629
,2月,,Feb,"50,143","36,982","13,161",          --,          --,          --,"6,814","2,521","4,293","6,782","2,114","4,668",32,406,-375,3,1,2,"43,326","34,460","8,866","40,864","32,065","8,799",          --,          --,          --,"18,297","12,257","6,040","1,898","1,771",127,"6,457","6,202",255,129,527,-398,"14,083","11,308","2,776","2,462","2,395",67
