tier,period,specification,variable,horizon,response,lower,upper
daily,extended,restricted,spread,12,0.006100663331816166,0.001353275224602271,0.010159963206753941
daily,extended,restricted,spread,24,0.009737305725850326,0.003342857637062618,0.015505051496321295
daily,extended,restricted,spread,125,0.010178912428947485,0.001711250925866133,0.015569255025657426
daily,extended,restricted,log_rgdp,0,-1.9518622672725296e-05,-1.9518622672725296e-05,-1.9518622672725296e-05
daily,extended,restricted,log_rgdp,1,-4.554447560758166e-05,-7.160502354144359e-05,-2.1856247090862005e-05
daily,extended,restricted,log_rgdp,3,-7.909326712549337e-05,-0.00012435483992054468,-3.2023825620004534e-05
daily,extended,restricted,log_rgdp,6,-0.00012498271096813386,-0.0001917037870836518,-5.730646838710151e-05
daily,extended,restricted,log_rgdp,12,-0.0002635994340256464,-0.00035530533456563316,-0.00016463738305172476
daily,extended,restricted,log_rgdp,24,-0.00048350694335784836,-0.000612521047566094,-0.0003066624910090477
daily,extended,restricted,log_rgdp,125,-0.0005444620880351563,-0.0006549373221452405,-0.0002498818913053151
daily,extended,restricted,log_reer,0,5.775877941551185e-05,5.775877941551185e-05,5.775877941551185e-05
daily,extended,restricted,log_reer,1,0.00010435258645817868,5.238349353544425e-05,0.00015896939122311298
daily,extended,restricted,log_reer,3,0.0001932196104086132,9.217791683938158e-05,0.0002946688454683095
daily,extended,restricted,log_reer,6,0.00045856239318517743,0.0002843509580193613,0.0006348054887327741
daily,extended,restricted,log_reer,12,0.0008034954837995329,0.0004825641301089374,0.0010960567139359078
daily,extended,restricted,log_reer,24,0.0012847668409084355,0.000700260051484961,0.0017916118920113277
daily,extended,restricted,log_reer,125,0.0016721771588719134,0.0004343671539965582,0.002280378524874839
daily,extended,restricted,log_nikkei,0,-0.0013843426533482403,-0.0013843426533482403,-0.0013843426533482403
daily,extended,restricted,log_nikkei,1,-0.003148331316306899,-0.0035543459515751125,-0.002730429243408324
daily,extended,restricted,log_nikkei,3,-0.003091741722841258,-0.0037722080799911005,-0.002345683167191387
daily,extended,restricted,log_nikkei,6,-0.003777670377419153,-0.004634738862922688,-0.002707002072111275
daily,extended,restricted,log_nikkei,12,-0.004190807444457812,-0.005153097578662808,-0.0027663578601678676
daily,extended,restricted,log_nikkei,24,-0.005216507194107078,-0.006641113760366912,-0.00313428989910494
daily,extended,restricted,log_nikkei,125,-0.005298821352073827,-0.006807357172933707,-0.0017973672388237685
daily,extended,restricted,debtsec_pct,0,-0.00479574236754053,-0.00479574236754053,-0.00479574236754053
daily,extended,restricted,debtsec_pct,1,-0.01283215589446539,-0.023518626224437646,-0.0022827509286337095
daily,extended,restricted,debtsec_pct,3,-0.0375558746624995,-0.0558302674057966,-0.01872743203746282
daily,extended,restricted,debtsec_pct,6,-0.0397354737603834,-0.06802660865836133,-0.009549808520951445
daily,extended,restricted,debtsec_pct,12,-0.052846865437136216,-0.09021417653887549,-0.009554765589275274
daily,extended,restricted,debtsec_pct,24,-0.033202429398217624,-0.06982872782890798,0.010728053431558892
daily,extended,restricted,debtsec_pct,125,-0.0038780370289157396,-0.009230329886490883,0.005133988886049601
daily,extended,restricted,equity_pct,0,-0.0014237771370884864,-0.0014237771370884864,-0.0014237771370884864
daily,extended,restricted,equity_pct,1,-0.003998054232825286,-0.010707262332524786,0.0020107615110201505
daily,extended,restricted,equity_pct,3,-0.014259219760256897,-0.024464397834919806,-0.004576802686225491
daily,extended,restricted,equity_pct,6,-0.02137446668073333,-0.03572906766601605,-0.0072529495751456185
daily,extended,restricted,equity_pct,12,-0.04772722738986327,-0.06266840831851866,-0.03071263484894469
