experiment,variable,horizon,response
e2b_unrestricted,debtsec_pct,6,0.0082331060954641
e2b_unrestricted,debtsec_pct,12,-0.0049459803523453
e2b_unrestricted,debtsec_pct,24,-0.0037079359205579
e2b_unrestricted,debtsec_pct,40,-0.0006393657515731
e2b_unrestricted,equity_pct,0,-0.1836049353807518
e2b_unrestricted,equity_pct,1,-0.0413243417850822
e2b_unrestricted,equity_pct,3,-0.0486428980425744
e2b_unrestricted,equity_pct,6,0.0196815906080305
e2b_unrestricted,equity_pct,12,0.0040670228326314
e2b_unrestricted,equity_pct,24,0.0004294243223334
e2b_unrestricted,equity_pct,40,0.0004007636029081
e2b_unrestricted,other_pct,0,0.1807503967475411
e2b_unrestricted,other_pct,1,0.0222645544201202
e2b_unrestricted,other_pct,3,-0.1827533567734997
e2b_unrestricted,other_pct,6,-0.0163504193571836
e2b_unrestricted,other_pct,12,-0.0315385944323693
e2b_unrestricted,other_pct,24,-0.0144021639116388
e2b_unrestricted,other_pct,40,-0.0056250336293457
e2b_unrestricted,direct_pct,0,0.0107589537106201
e2b_unrestricted,direct_pct,1,-0.0193468137424346
e2b_unrestricted,direct_pct,3,0.0361913146977565
e2b_unrestricted,direct_pct,6,-0.0097066324877278
e2b_unrestricted,direct_pct,12,-0.0015173196394313
e2b_unrestricted,direct_pct,24,-0.0001836499665933
e2b_unrestricted,direct_pct,40,-4.381406925453392e-05
e3_restricted,log_rgdp,0,-1.8180729985841565e-05
e3_restricted,log_rgdp,1,-4.699075628261239e-05
e3_restricted,log_rgdp,3,-7.29816802563579e-05
e3_restricted,log_rgdp,6,-9.190586554955676e-05
e3_restricted,log_rgdp,12,-0.0001670364723344
e3_restricted,log_rgdp,24,-0.0002312677938511
e3_restricted,log_rgdp,40,0.0
e3_restricted,log_wui,0,4.938296654456144e-06
e3_restricted,log_wui,1,0.0005022490488904
e3_restricted,log_wui,3,0.0002991243388892
e3_restricted,log_wui,6,0.0008880582599045
e3_restricted,log_wui,12,-0.0019821632508218
e3_restricted,log_wui,24,-0.0034457312400993
e3_restricted,log_wui,40,0.0
e3_restricted,log_reer,0,5.294474360774458e-05
e3_restricted,log_reer,1,0.0001150563043118
e3_restricted,log_reer,3,0.0002180015462471
e3_restricted,log_reer,6,0.0004176797535228
e3_restricted,log_reer,12,0.0005816900515961
e3_restricted,log_reer,24,0.0006985493750787
e3_restricted,log_reer,40,0.0
e3_restricted,spread,0,0.004135359077158
e3_restricted,spread,1,0.0026980863615753
e3_restricted,spread,3,0.0035976418236209
e3_restricted,spread,6,0.0037575668828593
e3_restricted,spread,12,0.0069485604151767
e3_restricted,spread,24,0.0071863491424933
e3_restricted,spread,40,0.0
e3_restricted,log_nikkei,0,-0.0013648425073258
e3_restricted,log_nikkei,1,-0.0031312836557381
e3_restricted,log_nikkei,3,-0.0029354741324601
e3_restricted,log_nikkei,6,-0.0027385340828237
e3_restricted,log_nikkei,12,-0.0028447511285979
e3_restricted,log_nikkei,24,-0.0030587059907092
e3_restricted,log_nikkei,40,0.0
e3_restricted,debtsec_pct,0,0.0039176802161268
e3_restricted,debtsec_pct,1,-0.0045577348071666
e3_restricted,debtsec_pct,3,-0.0290634434933625
e3_restricted,debtsec_pct,6,-0.0265011290535902
e3_restricted,debtsec_pct,12,-0.0222939717669832
e3_restricted,debtsec_pct,24,-0.0027558501808434
e3_restricted,debtsec_pct,40,0.0
e3_restricted,equity_pct,0,0.0018548252000115
e3_restricted,equity_pct,1,0.0003224459312167
e3_restricted,equity_pct,3,-0.0118070759619788
e3_restricted,equity_pct,6,-0.0136664914395807
e3_restricted,equity_pct,12,-0.0278331186631977
e3_restricted,equity_pct,24,-0.0095225405490515
e3_restricted,equity_pct,40,0.0
e3_restricted,other_pct,0,0.0027390602450658
e3_restricted,other_pct,1,0.0185786957844838
e3_restricted,other_pct,3,0.076739049869708
e3_restricted,other_pct,6,0.0966461708927042
e3_restricted,other_pct,12,0.0704760782464082
e3_restricted,other_pct,24,-0.0023886339280862
e3_restricted,other_pct,40,0.0
e3_restricted,direct_pct,0,0.0003474380711177
e3_restricted,direct_pct,1,0.0002056415174737
e3_restricted,direct_pct,3,-0.0006272113437058
e3_restricted,direct_pct,6,0.0010453232480707
e3_restricted,direct_pct,12,0.0017474516825612
e3_restricted,direct_pct,24,-0.0004119714103953
e3_restricted,direct_pct,40,0.0
e3b_restricted,log_rgdp,0,-2.143343656897738e-05
e3b_restricted,log_rgdp,1,-5.385414996310394e-05
e3b_restricted,log_rgdp,3,-8.351928909153543e-05
e3b_restricted,log_rgdp,6,-0.0001068362887503
e3b_restricted,log_rgdp,12,-0.0001943601384454
e3b_restricted,log_rgdp,24,-0.000262326492157
e3b_restricted,log_rgdp,40,0.0
e3b_restricted,log_wui,0,-6.639355466447032e-06
e3b_restricted,log_wui,1,0.0004879533638059
e3b_restricted,log_wui,3,0.0002830359864287
e3b_restricted,log_wui,6,0.0008778977851168
e3b_restricted,log_wui,12,-0.0019753642012695
e3b_restricted,log_wui,24,-0.0034516084416496
e3b_restricted,log_wui,40,0.0
e3b_restricted,log_reer,0,5.298318966120422e-05
e3b_restricted,log_reer,1,0.0001151989904288
e3b_restricted,log_reer,3,0.0002182519234655
e3b_restricted,log_reer,6,0.0004179416654057
e3b_restricted,log_reer,12,0.0005816802807737
e3b_restricted,log_reer,24,0.0007002987601354
e3b_restricted,log_reer,40,0.0
e3b_restricted,spread,0,0.0041313213785634
